,gold_labels,bert_labels,logr_labels,cnn_w2v,ct_bert_outputs,ct_bert_labels,bert_outputs,cnn_glove_outputs,cnn_glove_labels,cnn_w2v_outputs,cnn_w2v_labels,ct_bert_probs,bert_probs,ensemble_prob,ensemble_labels,ensemble_avg_prob,ensemble_avg_labels,ensemble_best1_prob,ensemble_best1_labels,Text,albert_outputs,albert_labels,albert_probs,cnn_w2v_probs,cnn_glove_probs,voted_bert_labels
0,0,0,0,0,"(5.2664175, -5.8366785)",0,"(2.3999605, -2.9502318)",0.66199076,1,0.98487234,1,"(0.9999849346185506, 1.506538144892792e-05)","(0.9952751917714886, 0.004724808228511273)",0.4253999296439209,0,"(2.3530187199415358, 1.6469812800584638)",0,"(0.9999849346185506, 1.506538144892792e-05)",0,"For those saying Pakistan isn’t Italy; After 3 weeks of the first confirmed case, Pakistan has a higher #Coronavirus growth rate than Italy. Experts on the issue say Italy was too slow to lockdown. Even after lockdown, it took time for it to properly have an impact. #Corona","(4.637295, -4.5422707)",0,"(0.999896885322985, 0.00010311467701489318)","(0.015127659999999987, 0.98487234)","(0.33800924, 0.66199076)",0
1,1,1,1,1,"(-5.384594, 5.6581416)",1,"(-2.96016, 3.3135133)",0.96289295,1,0.9996517,1,"(1.6002723957806827e-05, 0.9999839972760423)","(0.0018817429780166588, 0.9981182570219832)",0.9579403648944464,1,"(0.03751698989412633, 3.9624830101058737)",1,"(1.6002723957806827e-05, 0.9999839972760423)",1,"Second case DR 🇩🇴 The Canadian woman has not been identified, however they indicated that she is 70 years old and that she was staying with her husband in a Bayahibe hotel, according to the Minister of Public Health. #CoronaVirusRD #CoronaVirus #COVID19 🦠🇩🇴🌏","(-4.809444, 5.1852984)",1,"(4.563717016852579e-05, 0.9999543628298312)","(0.0003482999999999681, 0.9996517)","(0.03710705000000003, 0.96289295)",1
2,0,0,0,0,"(5.329612, -5.6970644)",0,"(2.4061947, -2.9463372)",0.03439911,0,0.00011047045,0,"(0.9999837382146854, 1.626178531473893e-05)","(0.9952861809653323, 0.004713819034667559)",0.013767257565502436,0,"(3.965364843058245, 0.03463515694175557)",0,"(0.9999837382146854, 1.626178531473893e-05)",0,Kill Chain: the cyber war on America's elections is a MUST SEE documentary for everyone who uses computers. HTTPURL As of 4/3/20 @USER @USER will be streaming 500 hrs of FREE content while we #StayAtHome during COVID-19 -- enjoy entertainment but also education.,"(4.6892033, -4.431967)",0,"(0.9998906852935595, 0.00010931470644083118)","(0.99988952955, 0.00011047045)","(0.96560089, 0.03439911)",0
3,0,0,0,0,"(5.198233, -5.690343)",0,"(2.398384, -2.9467247)",0.016180996,0,0.004657842,0,"(0.9999813300386413, 1.866996135827418e-05)","(0.9952512259325923, 0.004748774067407595)",0.013975802176825949,0,"(3.9790576767566197, 0.020942323243380283)",0,"(0.9999813300386413, 1.866996135827418e-05)",0,Town hosts FIRST #Virtual #TownCouncil meeting via @USER This technology was implemented due to #socialdistancing orders and FL EO 20-69 allowing governing bodies to meet remotely. #COVID19 HTTPURL,"(4.7737017, -4.6012483)",0,"(0.9999151847179782, 8.481528202200997e-05)","(0.995342158, 0.004657842)","(0.983819004, 0.016180996)",0
4,0,1,1,1,"(4.092912, -4.0827656)",0,"(-2.9613483, 3.306682)",0.72171724,1,0.9489575,1,"(0.9997186634662227, 0.0002813365337770597)","(0.0018923715193876573, 0.9981076284806124)",0.7790550327962618,1,"(2.3288738993105156, 1.6711261006894844)",0,"(0.9997186634662227, 0.0002813365337770597)",0,"Report suggested that the actual number of undiagnosed Coronavirus positive cases in the country may be five 20 times than the official figure at 600-2,500, as has been experienced in China’s Wuhan. #IndiaVsCorona #IndiaFightsCorona HTTPURL","(4.4956174, -4.1837826)",0,"(0.9998299758442929, 0.0001700241557074439)","(0.05104249999999999, 0.9489575)","(0.27828275999999996, 0.72171724)",0
5,1,1,0,0,"(-4.727775, 5.138189)",1,"(-2.9593358, 3.3135974)",0.31326288,0,0.38029665,0,"(5.190912779733971e-05, 0.9999480908722025)","(0.0018831335479129842, 0.9981168664520869)",0.6722594465432156,1,"(1.3066174009785814, 2.6933825990214184)",1,"(5.190912779733971e-05, 0.9999480908722025)",1,"Death happens all the time but is something we don't talk about much, except now we do. For all getting panicked about todays COVID-19 numbers (USA: 2,513), here a CDC summary of 2018 deaths in the USA: CVD: 868,662 Cancer: 614,914 Infections: 67,971","(-4.2628, 4.724097)",1,"(0.00012502185078401754, 0.999874978149216)","(0.61970335, 0.38029665)","(0.68673712, 0.31326288)",1
6,1,0,0,0,"(-4.732874, 4.4592113)",1,"(2.3965657, -2.9609175)",0.047580928,0,0.0007411858000000001,0,"(0.00010183190064361265, 0.9998981680993564)","(0.9953093536053397, 0.004690646394660416)",0.17910263426566894,0,"(2.951186177725053, 1.0488138222749464)",0,"(0.00010183190064361265, 0.9998981680993564)",1,cw | coronavirus i can’t see my dad for a week because he’s been in contact with someone who’s son is suspect to have covid-19 and we can’t take any chances of me contracting it because it would kill me but i’m so sad i just wanna hug my dad :(,"(3.867766, -3.5610456)",0,"(0.9994064596244098, 0.0005935403755901841)","(0.9992588142, 0.0007411858000000001)","(0.952419072, 0.047580928)",1
7,0,0,0,0,"(5.1288238, -4.8741145)",0,"(2.359398, -2.9606295)",0.07154508,0,0.05602448,0,"(0.9999547353220439, 4.5264677955808936e-05)","(0.9951312019981077, 0.004868798001892196)",0.04466328443492384,0,"(3.872184451525999, 0.12781554847400078)",0,"(0.9999547353220439, 4.5264677955808936e-05)",0,"The issue? The Coronavirus cases in MoCo. The first parent that pointed out that Baltimore was not in MoVo was basically challenged to a fight. Then there many many links. This is all going really well, America. Bravo.","(4.282141, -4.231239)",0,"(0.9997992762039551, 0.00020072379604497702)","(0.94397552, 0.05602448)","(0.92845492, 0.07154508)",0
8,0,0,0,0,"(5.1467805, -5.758079)",0,"(2.4058235, -2.9501328)",0.17531067,0,0.06644355,0,"(0.9999816315836066, 1.8368416393357102e-05)","(0.995302219658532, 0.004697780341468109)",0.06664257633048219,0,"(3.7581196343036836, 0.241880365696316)",0,"(0.9999816315836066, 1.8368416393357102e-05)",0,"This is nothing more than BS rhetoric in an attempt to put himself in the ""I told you so"" category if another person dies with COVID 19 after opening the economy. @USER is one of the most anti-Americans I've seen in quite a while.","(4.6660852, -4.4692507)",0,"(0.9998922227200769, 0.00010777727992262884)","(0.93355645, 0.06644355)","(0.82468933, 0.17531067)",0
9,1,1,1,1,"(-5.506543, 5.7817764)",1,"(-2.9605458, 3.3136058)",0.9761055000000001,1,0.9998179,1,"(1.2518138089890586e-05, 0.9999874818619104)","(0.0018808448479864016, 0.9981191551520134)",0.9936297513018876,1,"(0.02412969579446309, 3.9758703042055368)",1,"(1.2518138089890586e-05, 0.9999874818619104)",1,UPDATE: the two people at our Hail Creek operation isolated &amp; tested for coronavirus (COVID-19) have returned negative test results for COVID-19 this afternoon. We’ll continue to follow advice of medical practitioners &amp; health authorities &amp; take precautionary measures as required,"(-4.8394184, 5.272834)",1,"(4.057765637330651e-05, 0.9999594223436264)","(0.00018209999999996285, 0.9998179)","(0.02389449999999993, 0.9761055000000001)",1
